RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9452,1,KAWASAKI,KLR 650,1999,2021,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9454,2,KAWASAKI,KLX 650/R,1993,1996,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9455,1,KAWASAKI,EJ 650 (W650),1999,2006,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9456,1,KAWASAKI,ER 650/EX 650 (ER6N/ER6F),2006,2011,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9457,1,KAWASAKI,ZR 750 (ZEPHYR),1996,1998,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9459,1,KAWASAKI,ZX 750 (GPX 750R),1987,1990,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9460,1,KAWASAKI,ZX 750 (ZXR 750),1989,1989,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9461,1,KAWASAKI,ZX 750 (ZXR 750),1990,1990,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9462,1,KAWASAKI,ZX 750 (ZXR 750),1991,1993,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9463,1,KAWASAKI,ZX 750 (ZXR 750R),1991,1993,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9464,1,KAWASAKI,ZX 750 (ZXR 750),1993,1995,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9465,1,KAWASAKI,ZX 750 (ZXR 750R),1993,1994,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9466,1,KAWASAKI,ZX 750 (ZX-7R),1996,2003,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9467,1,KAWASAKI,ZX 750 (ZX-7RR),1996,1998,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9469,1,KAWASAKI,ZR 750 (ZR-7/ZR-7S),1999,2004,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9470,1,KAWASAKI,ZR 750 (Z750),2008,2010,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9471,1,KAWASAKI,VN 800,1995,1997,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9472,1,KAWASAKI,VN 800,1997,1998,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
